violation_date,borough,count_violation_by_date_borough
5/28/2015,Bronx,2
5/28/2015,Brooklyn,27
5/28/2015,Manhattan,24
5/28/2015,Staten Island,4
5/29/2015,Queens,2
5/30/2015,Bronx,8
5/30/2015,Brooklyn,2
5/30/2015,Queens,4
5/31/2015,Bronx,15
5/31/2015,Brooklyn,8
5/31/2015,Queens,6
6/1/2015,Bronx,9
6/1/2015,Manhattan,34
6/1/2015,Queens,18
6/1/2015,Staten Island,1
6/1/2015,Unknown,2
6/2/2015,Bronx,5
6/2/2015,Brooklyn,11
6/2/2015,Outside NYC,2
6/2/2015,Queens,7
6/2/2015,Staten Island,2
6/3/2015,Brooklyn,4
6/3/2015,Manhattan,36
6/3/2015,Queens,17
6/4/2015,Bronx,6
6/4/2015,Brooklyn,30
6/4/2015,Manhattan,19
6/4/2015,Staten Island,7
6/5/2015,Bronx,1
6/5/2015,Bronx,4
6/5/2015,Brooklyn,17
6/5/2015,Manhattan,36
6/5/2015,Queens,9
6/5/2015,Staten Island,8
6/6/2015,Brooklyn,7
6/6/2015,Queens,4
6/6/2015,Staten Island,6
6/7/2015,Bronx,18
6/7/2015,Manhattan,3
6/7/2015,Queens,9
6/8/2015,Bronx,5
6/8/2015,Bronx,24
6/8/2015,Brooklyn,1
6/8/2015,Manhattan,23
6/8/2015,Queens,8
6/8/2015,Staten Island,2
6/9/2015,Bronx,2
6/9/2015,Brooklyn,20
6/9/2015,Manhattan,6
6/9/2015,Queens,16
6/10/2015,Brooklyn,1
6/10/2015,Bronx,7
6/10/2015,Brooklyn,35
6/10/2015,Manhattan,23
6/10/2015,Queens,18
6/10/2015,Staten Island,11
6/11/2015,Bronx,2
6/11/2015,Brooklyn,1
6/11/2015,Bronx,11
6/11/2015,Brooklyn,20
6/11/2015,Manhattan,19
6/11/2015,Queens,2
6/11/2015,Staten Island,1
6/12/2015,Bronx,6
6/12/2015,Brooklyn,3
6/12/2015,Bronx,8
6/12/2015,Brooklyn,5
6/12/2015,Manhattan,30
6/12/2015,Queens,12
6/12/2015,Staten Island,4
6/13/2015,Bronx,17
6/13/2015,Manhattan,2
6/13/2015,Queens,2
6/13/2015,Staten Island,3
6/14/2015,Bronx,13
6/14/2015,Brooklyn,16
6/14/2015,Queens,2
6/15/2015,Bronx,9
6/15/2015,Brooklyn,3
6/15/2015,Manhattan,36
6/15/2015,Queens,26
6/15/2015,Staten Island,4
6/16/2015,Bronx,3
6/16/2015,Brooklyn,21
6/16/2015,Queens,21
6/17/2015,Brooklyn,2
6/17/2015,Bronx,15
6/17/2015,Brooklyn,23
6/17/2015,Manhattan,21
6/17/2015,Queens,27
6/17/2015,Staten Island,6
6/18/2015,Bronx,1
6/18/2015,Brooklyn,5
6/18/2015,Bronx,3
6/18/2015,Brooklyn,30
6/18/2015,Manhattan,25
6/18/2015,Staten Island,4
6/19/2015,Bronx,1
6/19/2015,Bronx,11
6/19/2015,Brooklyn,17
6/19/2015,Manhattan,19
6/19/2015,Queens,27
6/19/2015,Staten Island,4
6/20/2015,Bronx,27
6/20/2015,Brooklyn,4
6/20/2015,Manhattan,10
6/20/2015,Queens,10
6/22/2015,Bronx,9
6/22/2015,Brooklyn,1
6/22/2015,Manhattan,18
6/22/2015,Queens,20
6/22/2015,Staten Island,9
6/23/2015,Bronx,1
6/23/2015,Bronx,26
6/23/2015,Brooklyn,17
6/23/2015,Manhattan,2
6/23/2015,Queens,32
6/24/2015,Bronx,1
6/24/2015,Brooklyn,29
6/24/2015,Manhattan,20
6/24/2015,Queens,28
6/24/2015,Staten Island,8
6/25/2015,Bronx,1
6/25/2015,Bronx,1
6/25/2015,Brooklyn,13
6/25/2015,Manhattan,25
6/25/2015,Queens,13
6/25/2015,Staten Island,14
6/26/2015,Bronx,4
6/26/2015,Brooklyn,12
6/26/2015,Manhattan,31
6/26/2015,Queens,38
6/26/2015,Staten Island,7
6/27/2015,Manhattan,22
6/27/2015,Queens,3
6/29/2015,Bronx,19
6/29/2015,Brooklyn,2
6/29/2015,Manhattan,44
6/29/2015,Queens,28
6/30/2015,Bronx,6
6/30/2015,Brooklyn,17
6/30/2015,Manhattan,31
6/30/2015,Queens,19
7/1/2015,Bronx,4
7/1/2015,Brooklyn,15
7/1/2015,Manhattan,12
7/1/2015,Queens,20
7/2/2015,Bronx,4
7/2/2015,Brooklyn,5
7/2/2015,Manhattan,36
7/2/2015,Queens,1
7/6/2015,Bronx,11
7/6/2015,Brooklyn,5
7/6/2015,Manhattan,15
7/6/2015,Queens,11
7/6/2015,Staten Island,5
7/7/2015,Bronx,17
7/7/2015,Brooklyn,23
7/7/2015,Queens,21
7/8/2015,Brooklyn,27
7/8/2015,Manhattan,30
7/8/2015,Queens,16
7/8/2015,Staten Island,5
7/9/2015,Bronx,25
7/9/2015,Brooklyn,26
7/9/2015,Manhattan,6
7/9/2015,Queens,4
7/9/2015,Staten Island,4
7/10/2015,Bronx,17
7/10/2015,Brooklyn,23
7/10/2015,Manhattan,21
7/10/2015,Queens,31
7/10/2015,Staten Island,5
7/11/2015,Brooklyn,10
7/11/2015,Manhattan,8
7/13/2015,Bronx,17
7/13/2015,Brooklyn,1
7/13/2015,Manhattan,12
7/13/2015,Queens,18
7/13/2015,Staten Island,4
7/14/2015,Bronx,9
7/14/2015,Brooklyn,23
7/14/2015,Queens,20
7/14/2015,Unknown,6
7/15/2015,Brooklyn,19
7/15/2015,Manhattan,13
7/15/2015,Queens,23
7/15/2015,Staten Island,7
7/16/2015,Bronx,13
7/16/2015,Brooklyn,29
7/16/2015,Manhattan,17
7/16/2015,Staten Island,3
7/17/2015,Bronx,16
7/17/2015,Brooklyn,46
7/17/2015,Manhattan,9
7/17/2015,Queens,11
7/17/2015,Staten Island,8
7/18/2015,Brooklyn,3
7/18/2015,Manhattan,2
7/20/2015,Bronx,1
7/20/2015,Bronx,8
7/20/2015,Manhattan,24
7/20/2015,Queens,16
7/20/2015,Staten Island,9
7/21/2015,Bronx,13
7/21/2015,Brooklyn,13
7/21/2015,Queens,25
7/22/2015,Bronx,1
7/22/2015,Brooklyn,18
7/22/2015,Manhattan,12
7/22/2015,Queens,19
7/22/2015,Staten Island,11
7/23/2015,Bronx,1
7/23/2015,Bronx,33
7/23/2015,Brooklyn,30
7/23/2015,Manhattan,29
7/23/2015,Queens,4
7/23/2015,Staten Island,8
7/24/2015,Bronx,25
7/24/2015,Brooklyn,27
7/24/2015,Manhattan,17
7/24/2015,Queens,19
7/24/2015,Staten Island,8
7/24/2015,Unknown,7
7/25/2015,Brooklyn,3
7/25/2015,Manhattan,2
7/27/2015,Bronx,20
7/27/2015,Brooklyn,16
7/27/2015,Manhattan,15
7/27/2015,Queens,22
7/27/2015,Staten Island,7
7/28/2015,Bronx,23
7/28/2015,Brooklyn,27
7/28/2015,Queens,31
7/29/2015,Brooklyn,21
7/29/2015,Manhattan,14
7/29/2015,Outside NYC,1
7/29/2015,Queens,25
7/29/2015,Staten Island,1
7/30/2015,Bronx,23
7/30/2015,Brooklyn,13
7/30/2015,Manhattan,22
7/30/2015,Queens,4
7/30/2015,Staten Island,1
7/31/2015,Bronx,22
7/31/2015,Brooklyn,21
7/31/2015,Manhattan,16
7/31/2015,Queens,22
7/31/2015,Staten Island,6
8/1/2015,Brooklyn,1
8/1/2015,Queens,6
8/3/2015,Bronx,27
8/3/2015,Manhattan,10
8/3/2015,Queens,15
8/3/2015,Staten Island,5
8/4/2015,Bronx,11
8/4/2015,Brooklyn,16
8/4/2015,Manhattan,2
8/4/2015,Queens,14
8/5/2015,Brooklyn,1
8/5/2015,Brooklyn,44
8/5/2015,Manhattan,23
8/5/2015,Queens,16
8/5/2015,Staten Island,7
8/6/2015,Bronx,19
8/6/2015,Brooklyn,24
8/6/2015,Manhattan,31
8/6/2015,Queens,8
8/7/2015,Bronx,1
8/7/2015,Bronx,13
8/7/2015,Brooklyn,21
8/7/2015,Manhattan,11
8/7/2015,Queens,12
8/7/2015,Staten Island,4
8/8/2015,Brooklyn,10
8/10/2015,Bronx,29
8/10/2015,Manhattan,7
8/10/2015,Staten Island,6
8/11/2015,Bronx,5
8/11/2015,Brooklyn,5
8/11/2015,Queens,19
8/12/2015,Brooklyn,36
8/12/2015,Manhattan,31
8/12/2015,Queens,7
8/12/2015,Staten Island,4
8/13/2015,Bronx,23
8/13/2015,Brooklyn,45
8/13/2015,Manhattan,12
8/13/2015,Queens,6
8/14/2015,Bronx,18
8/14/2015,Brooklyn,20
8/14/2015,Manhattan,17
8/14/2015,Queens,17
8/15/2015,Brooklyn,14
8/15/2015,Manhattan,3
8/15/2015,Queens,4
8/17/2015,Bronx,22
8/17/2015,Manhattan,4
8/17/2015,Queens,8
8/18/2015,Bronx,12
8/18/2015,Brooklyn,22
8/18/2015,Manhattan,1
8/18/2015,Queens,34
8/19/2015,Bronx,11
8/19/2015,Brooklyn,13
8/19/2015,Manhattan,4
8/19/2015,Queens,19
8/20/2015,Bronx,16
8/20/2015,Brooklyn,22
8/20/2015,Manhattan,7
8/20/2015,Queens,3
8/21/2015,Bronx,10
8/21/2015,Brooklyn,25
8/21/2015,Manhattan,14
8/21/2015,Queens,18
8/22/2015,Brooklyn,8
8/22/2015,Manhattan,9
8/24/2015,Bronx,16
8/24/2015,Manhattan,32
8/24/2015,Queens,26
8/25/2015,Bronx,30
8/25/2015,Brooklyn,31
8/25/2015,Queens,14
8/26/2015,Bronx,2
8/26/2015,Brooklyn,6
8/26/2015,Manhattan,26
8/26/2015,Queens,19
8/27/2015,Bronx,37
8/27/2015,Brooklyn,24
8/27/2015,Manhattan,25
8/27/2015,Queens,7
8/27/2015,Staten Island,6
8/28/2015,Bronx,18
8/28/2015,Brooklyn,15
8/28/2015,Manhattan,16
8/28/2015,Queens,8
8/28/2015,Staten Island,3
8/29/2015,Brooklyn,9
8/29/2015,Manhattan,13
8/31/2015,Bronx,14
8/31/2015,Brooklyn,9
8/31/2015,Manhattan,34
8/31/2015,Queens,23
9/1/2015,Bronx,17
9/1/2015,Brooklyn,17
9/1/2015,Outside NYC,1
9/1/2015,Queens,17
9/2/2015,Brooklyn,23
9/2/2015,Manhattan,59
9/2/2015,Queens,24
9/3/2015,Bronx,17
9/3/2015,Brooklyn,25
9/3/2015,Manhattan,23
9/3/2015,Queens,8
9/3/2015,Staten Island,6
9/4/2015,Bronx,12
9/4/2015,Brooklyn,39
9/4/2015,Manhattan,31
9/4/2015,Outside NYC,1
9/4/2015,Queens,29
9/7/2015,Manhattan,1
9/8/2015,Bronx,32
9/8/2015,Brooklyn,3
9/8/2015,Queens,21
9/8/2015,Staten Island,3
9/9/2015,Bronx,11
9/9/2015,Brooklyn,24
9/9/2015,Manhattan,23
9/9/2015,Queens,10
9/9/2015,Staten Island,2
9/10/2015,Bronx,29
9/10/2015,Brooklyn,8
9/10/2015,Manhattan,34
9/10/2015,Queens,1
9/10/2015,Staten Island,1
9/10/2015,Unknown,6
9/11/2015,Bronx,10
9/11/2015,Brooklyn,17
9/11/2015,Manhattan,42
9/11/2015,Queens,17
9/12/2015,Bronx,2
9/12/2015,Brooklyn,3
9/12/2015,Manhattan,11
9/12/2015,Queens,8
9/12/2015,Staten Island,2
9/13/2015,Bronx,7
9/13/2015,Queens,5
9/14/2015,Bronx,17
9/14/2015,Manhattan,52
9/14/2015,Queens,29
9/15/2015,Bronx,1
9/15/2015,Bronx,22
9/15/2015,Brooklyn,16
9/15/2015,Queens,38
9/16/2015,Bronx,3
9/16/2015,Brooklyn,27
9/16/2015,Manhattan,26
9/16/2015,Queens,20
9/17/2015,Bronx,25
9/17/2015,Brooklyn,24
9/17/2015,Manhattan,31
9/17/2015,Queens,3
9/18/2015,Bronx,19
9/18/2015,Brooklyn,31
9/18/2015,Manhattan,63
9/18/2015,Queens,26
9/18/2015,Staten Island,2
9/18/2015,Unknown,8
9/19/2015,Brooklyn,15
9/19/2015,Manhattan,17
9/19/2015,Staten Island,3
9/20/2015,Brooklyn,1
9/20/2015,Brooklyn,10
9/20/2015,Manhattan,2
9/21/2015,Bronx,12
9/21/2015,Brooklyn,5
9/21/2015,Manhattan,21
9/21/2015,Queens,28
9/21/2015,Unknown,7
9/22/2015,Bronx,10
9/22/2015,Brooklyn,26
9/22/2015,Manhattan,1
9/22/2015,Outside NYC,6
9/22/2015,Queens,30
9/23/2015,Bronx,10
9/23/2015,Brooklyn,47
9/23/2015,Manhattan,18
9/23/2015,Outside NYC,8
9/23/2015,Queens,8
9/23/2015,Unknown,3
9/24/2015,Bronx,7
9/24/2015,Brooklyn,37
9/24/2015,Manhattan,13
9/24/2015,Queens,5
9/25/2015,Bronx,5
9/25/2015,Brooklyn,25
9/25/2015,Manhattan,29
9/25/2015,Queens,29
9/25/2015,Staten Island,9
9/26/2015,Bronx,7
9/26/2015,Brooklyn,18
9/26/2015,Manhattan,13
9/26/2015,Queens,10
9/26/2015,Staten Island,3
9/27/2015,Brooklyn,2
9/27/2015,Manhattan,3
9/27/2015,Queens,1
9/28/2015,Bronx,10
9/28/2015,Manhattan,41
9/28/2015,Queens,33
9/29/2015,Bronx,14
9/29/2015,Brooklyn,15
9/29/2015,Manhattan,6
9/29/2015,Queens,18
9/30/2015,Brooklyn,13
9/30/2015,Manhattan,43
9/30/2015,Queens,29
10/1/2015,Bronx,20
10/1/2015,Brooklyn,34
10/1/2015,Manhattan,43
10/1/2015,Queens,1
10/1/2015,Staten Island,12
10/3/2015,Bronx,2
10/3/2015,Brooklyn,4
10/3/2015,Manhattan,2
10/3/2015,Queens,10
10/4/2015,Bronx,8
10/4/2015,Brooklyn,7
10/4/2015,Manhattan,2
10/4/2015,Queens,2
10/5/2015,Bronx,21
10/5/2015,Manhattan,34
10/5/2015,Queens,19
10/6/2015,Bronx,8
10/6/2015,Brooklyn,19
10/6/2015,Manhattan,5
10/6/2015,Queens,32
10/7/2015,Bronx,5
10/7/2015,Brooklyn,28
10/7/2015,Manhattan,34
10/7/2015,Queens,16
10/8/2015,Bronx,16
10/8/2015,Brooklyn,17
10/8/2015,Manhattan,33
10/8/2015,Staten Island,9
10/9/2015,Bronx,9
10/9/2015,Brooklyn,14
10/9/2015,Manhattan,51
10/9/2015,Queens,10
10/9/2015,Staten Island,2
10/10/2015,Bronx,4
10/10/2015,Brooklyn,6
10/10/2015,Manhattan,8
10/10/2015,Staten Island,3
10/11/2015,Bronx,12
10/11/2015,Brooklyn,6
10/11/2015,Queens,1
10/13/2015,Bronx,24
10/13/2015,Brooklyn,4
10/13/2015,Outside NYC,1
10/13/2015,Queens,6
10/13/2015,Staten Island,1
10/14/2015,Brooklyn,28
10/14/2015,Manhattan,14
10/14/2015,Queens,25
10/15/2015,Bronx,17
10/15/2015,Brooklyn,9
10/15/2015,Manhattan,7
10/15/2015,Staten Island,4
10/16/2015,Bronx,9
10/16/2015,Brooklyn,11
10/16/2015,Manhattan,10
10/16/2015,Queens,12
10/16/2015,Staten Island,5
10/17/2015,Bronx,9
10/17/2015,Brooklyn,10
10/17/2015,Manhattan,2
10/17/2015,Queens,5
10/18/2015,Bronx,8
10/18/2015,Brooklyn,12
10/19/2015,Bronx,9
10/19/2015,Brooklyn,2
10/19/2015,Manhattan,34
10/19/2015,Queens,8
10/20/2015,Bronx,18
10/20/2015,Brooklyn,8
10/20/2015,Queens,14
10/20/2015,Unknown,9
10/21/2015,Brooklyn,17
10/21/2015,Manhattan,36
10/21/2015,Queens,35
10/22/2015,Bronx,18
10/22/2015,Brooklyn,43
10/22/2015,Manhattan,18
10/22/2015,Queens,1
10/22/2015,Staten Island,1
10/23/2015,Bronx,15
10/23/2015,Brooklyn,21
10/23/2015,Manhattan,28
10/23/2015,Queens,22
10/24/2015,Bronx,8
10/24/2015,Brooklyn,6
10/24/2015,Manhattan,3
10/24/2015,Queens,3
10/24/2015,Staten Island,1
10/25/2015,Brooklyn,5
10/25/2015,Queens,12
10/26/2015,Bronx,17
10/26/2015,Manhattan,48
10/26/2015,Queens,19
10/27/2015,Bronx,13
10/27/2015,Brooklyn,18
10/27/2015,Manhattan,11
10/27/2015,Queens,23
10/27/2015,Staten Island,1
10/28/2015,Brooklyn,21
10/28/2015,Manhattan,34
10/28/2015,Queens,44
10/28/2015,Staten Island,1
10/28/2015,Unknown,2
10/29/2015,Bronx,40
10/29/2015,Brooklyn,22
10/29/2015,Manhattan,14
10/29/2015,Staten Island,15
10/30/2015,Bronx,12
10/30/2015,Brooklyn,37
10/30/2015,Manhattan,32
10/30/2015,Queens,20
10/31/2015,Bronx,4
10/31/2015,Brooklyn,7
10/31/2015,Queens,6
11/2/2015,Bronx,5
11/2/2015,Manhattan,34
11/2/2015,Queens,13
11/4/2015,Bronx,1
11/4/2015,Brooklyn,15
11/4/2015,Manhattan,3
11/4/2015,Queens,43
11/5/2015,Bronx,18
11/5/2015,Brooklyn,29
11/5/2015,Manhattan,13
11/5/2015,Queens,4
11/6/2015,Bronx,27
11/6/2015,Brooklyn,26
11/6/2015,Manhattan,32
11/6/2015,Queens,18
11/6/2015,Staten Island,9
11/7/2015,Bronx,3
11/7/2015,Brooklyn,6
11/7/2015,Manhattan,4
11/7/2015,Queens,8
11/8/2015,Bronx,14
11/8/2015,Brooklyn,9
11/8/2015,Queens,7
11/9/2015,Bronx,21
11/9/2015,Manhattan,28
11/9/2015,Queens,35
11/10/2015,Bronx,6
11/10/2015,Brooklyn,17
11/10/2015,Manhattan,7
11/10/2015,Queens,26
11/12/2015,Bronx,16
11/12/2015,Brooklyn,20
11/12/2015,Manhattan,29
11/12/2015,Staten Island,1
11/13/2015,Bronx,8
11/13/2015,Brooklyn,26
11/13/2015,Manhattan,21
11/13/2015,Queens,26
11/14/2015,Bronx,3
11/14/2015,Brooklyn,3
11/14/2015,Manhattan,14
11/14/2015,Queens,3
11/15/2015,Brooklyn,8
11/15/2015,Manhattan,1
11/15/2015,Queens,3
11/16/2015,Bronx,14
11/16/2015,Manhattan,18
11/16/2015,Queens,35
11/17/2015,Bronx,7
11/17/2015,Brooklyn,13
11/17/2015,Queens,19
11/17/2015,Staten Island,3
11/18/2015,Brooklyn,11
11/18/2015,Manhattan,28
11/18/2015,Queens,17
11/19/2015,Bronx,3
11/19/2015,Brooklyn,21
11/19/2015,Manhattan,31
11/19/2015,Staten Island,8
11/20/2015,Bronx,21
11/20/2015,Brooklyn,11
11/20/2015,Manhattan,19
11/20/2015,Queens,24
11/20/2015,Staten Island,13
11/21/2015,Bronx,3
11/21/2015,Brooklyn,17
11/21/2015,Manhattan,6
11/21/2015,Staten Island,2
11/22/2015,Bronx,11
11/22/2015,Brooklyn,3
11/22/2015,Queens,2
11/23/2015,Bronx,16
11/23/2015,Brooklyn,4
11/23/2015,Manhattan,31
11/23/2015,Queens,24
11/23/2015,Staten Island,1
11/24/2015,Bronx,14
11/24/2015,Brooklyn,36
11/24/2015,Manhattan,1
11/24/2015,Queens,24
11/24/2015,Staten Island,1
11/25/2015,Bronx,1
11/25/2015,Brooklyn,24
11/25/2015,Manhattan,34
11/25/2015,Queens,23
11/25/2015,Staten Island,7
11/26/2015,Manhattan,7
11/27/2015,Bronx,8
11/27/2015,Brooklyn,7
11/27/2015,Manhattan,21
11/28/2015,Brooklyn,3
11/28/2015,Queens,6
11/28/2015,Staten Island,7
11/29/2015,Brooklyn,19
11/29/2015,Manhattan,6
11/29/2015,Queens,6
11/30/2015,Bronx,6
11/30/2015,Manhattan,30
11/30/2015,Queens,34
11/30/2015,Staten Island,1
12/1/2015,Bronx,2
12/1/2015,Bronx,7
12/1/2015,Brooklyn,33
12/1/2015,Manhattan,6
12/1/2015,Queens,28
12/2/2015,Brooklyn,46
12/2/2015,Manhattan,39
12/2/2015,Queens,18
12/3/2015,Bronx,18
12/3/2015,Brooklyn,23
12/3/2015,Manhattan,32
12/3/2015,Unknown,11
12/4/2015,Bronx,4
12/4/2015,Brooklyn,27
12/4/2015,Manhattan,38
12/4/2015,Queens,22
12/4/2015,Staten Island,7
12/5/2015,Bronx,8
12/5/2015,Brooklyn,7
12/5/2015,Manhattan,8
12/6/2015,Manhattan,10
12/6/2015,Queens,4
12/7/2015,Bronx,1
12/7/2015,Bronx,12
12/7/2015,Brooklyn,4
12/7/2015,Manhattan,17
12/7/2015,Queens,15
12/7/2015,Staten Island,3
12/8/2015,Bronx,9
12/8/2015,Brooklyn,9
12/8/2015,Manhattan,14
12/8/2015,Queens,8
12/9/2015,Bronx,9
12/9/2015,Brooklyn,12
12/9/2015,Manhattan,26
12/9/2015,Queens,18
12/9/2015,Staten Island,1
12/10/2015,Bronx,24
12/10/2015,Brooklyn,24
12/10/2015,Manhattan,17
12/10/2015,Outside NYC,1
12/10/2015,Queens,3
12/11/2015,Brooklyn,2
12/11/2015,Bronx,11
12/11/2015,Brooklyn,19
12/11/2015,Manhattan,29
12/11/2015,Queens,23
12/11/2015,Staten Island,1
12/12/2015,Bronx,4
12/12/2015,Brooklyn,4
12/12/2015,Manhattan,3
12/12/2015,Queens,4
12/13/2015,Manhattan,9
12/14/2015,Bronx,18
12/14/2015,Brooklyn,1
12/14/2015,Manhattan,29
12/14/2015,Queens,45
12/14/2015,Staten Island,6
12/15/2015,Bronx,19
12/15/2015,Brooklyn,25
12/15/2015,Manhattan,5
12/15/2015,Queens,38
12/16/2015,Brooklyn,31
12/16/2015,Manhattan,56
12/16/2015,Queens,22
12/17/2015,Bronx,14
12/17/2015,Brooklyn,14
12/17/2015,Manhattan,24
12/17/2015,Queens,1
12/17/2015,Staten Island,2
12/19/2015,Brooklyn,14
12/19/2015,Manhattan,11
12/19/2015,Queens,2
12/19/2015,Staten Island,5
12/20/2015,Brooklyn,12
12/20/2015,Manhattan,3
12/20/2015,Queens,4
12/21/2015,Bronx,14
12/21/2015,Brooklyn,2
12/21/2015,Manhattan,30
12/21/2015,Queens,34
12/21/2015,Staten Island,3
12/22/2015,Bronx,9
12/22/2015,Brooklyn,22
12/22/2015,Manhattan,4
12/22/2015,Queens,38
12/23/2015,Bronx,5
12/23/2015,Bronx,19
12/23/2015,Brooklyn,32
12/23/2015,Manhattan,39
12/23/2015,Queens,24
12/24/2015,Brooklyn,15
12/24/2015,Manhattan,12
12/24/2015,Staten Island,5
12/28/2015,Bronx,16
12/28/2015,Brooklyn,2
12/28/2015,Manhattan,31
12/28/2015,Queens,22
12/28/2015,Staten Island,7
12/29/2015,Bronx,11
12/29/2015,Brooklyn,37
12/29/2015,Manhattan,3
12/29/2015,Queens,43
12/29/2015,Staten Island,1
12/30/2015,Bronx,14
12/30/2015,Brooklyn,26
12/30/2015,Manhattan,33
12/30/2015,Queens,43
12/31/2015,Bronx,14
12/31/2015,Brooklyn,9
12/31/2015,Manhattan,32
12/31/2015,Staten Island,2
1/3/2016,Bronx,6
1/3/2016,Brooklyn,13
1/3/2016,Outside NYC,1
1/4/2016,Bronx,20
1/4/2016,Brooklyn,3
1/4/2016,Manhattan,25
1/4/2016,Queens,34
1/4/2016,Staten Island,4
1/5/2016,Bronx,21
1/5/2016,Brooklyn,15
1/5/2016,Queens,26
1/6/2016,Bronx,2
1/6/2016,Brooklyn,11
1/6/2016,Manhattan,46
1/6/2016,Queens,35
1/7/2016,Bronx,11
1/7/2016,Brooklyn,17
1/7/2016,Manhattan,46
1/7/2016,Queens,1
1/7/2016,Unknown,2
1/8/2016,Bronx,17
1/8/2016,Brooklyn,8
1/8/2016,Manhattan,29
1/8/2016,Outside NYC,5
1/8/2016,Queens,19
1/8/2016,Staten Island,22
1/9/2016,Brooklyn,15
1/9/2016,Manhattan,5
1/9/2016,Queens,3
1/10/2016,Bronx,16
1/10/2016,Brooklyn,4
1/10/2016,Outside NYC,2
1/10/2016,Queens,3
1/11/2016,Bronx,15
1/11/2016,Manhattan,26
1/11/2016,Outside NYC,1
1/11/2016,Queens,26
1/12/2016,Bronx,10
1/12/2016,Brooklyn,18
1/12/2016,Manhattan,3
1/12/2016,Outside NYC,2
1/12/2016,Queens,36
1/12/2016,Staten Island,2
1/13/2016,Brooklyn,36
1/13/2016,Manhattan,16
1/13/2016,Queens,37
1/14/2016,Bronx,17
1/14/2016,Brooklyn,19
1/14/2016,Manhattan,21
1/14/2016,Outside NYC,1
1/14/2016,Queens,8
1/15/2016,Bronx,7
1/15/2016,Brooklyn,43
1/15/2016,Manhattan,30
1/15/2016,Queens,19
1/15/2016,Staten Island,5
1/16/2016,Brooklyn,20
1/16/2016,Manhattan,7
1/16/2016,Queens,1
1/19/2016,Bronx,22
1/19/2016,Brooklyn,1
1/19/2016,Manhattan,2
1/19/2016,Queens,35
1/20/2016,Bronx,15
1/20/2016,Brooklyn,24
1/20/2016,Manhattan,30
1/20/2016,Queens,31
1/21/2016,Bronx,17
1/21/2016,Brooklyn,38
1/21/2016,Manhattan,31
1/22/2016,Bronx,1
1/22/2016,Bronx,10
1/22/2016,Brooklyn,21
1/22/2016,Manhattan,45
1/22/2016,Queens,30
1/22/2016,Staten Island,2
1/25/2016,Brooklyn,1
1/25/2016,Outside NYC,1
1/25/2016,Queens,1
1/26/2016,Bronx,6
1/26/2016,Brooklyn,3
1/26/2016,Manhattan,1
1/26/2016,Unknown,1
1/27/2016,Bronx,13
1/27/2016,Brooklyn,29
1/27/2016,Manhattan,51
1/27/2016,Queens,33
1/28/2016,Bronx,15
1/28/2016,Brooklyn,33
1/28/2016,Manhattan,41
1/28/2016,Queens,43
1/28/2016,Unknown,10
1/29/2016,Bronx,13
1/29/2016,Brooklyn,46
1/29/2016,Manhattan,21
1/29/2016,Queens,29
1/29/2016,Staten Island,6
1/30/2016,Bronx,12
1/30/2016,Manhattan,1
1/30/2016,Queens,13
1/30/2016,Staten Island,3
1/31/2016,Brooklyn,4
1/31/2016,Manhattan,1
1/31/2016,Queens,7
1/31/2016,Staten Island,3
2/1/2016,Bronx,14
2/1/2016,Manhattan,38
2/1/2016,Queens,20
2/2/2016,Bronx,12
2/2/2016,Brooklyn,41
2/2/2016,Manhattan,4
2/2/2016,Queens,27
2/3/2016,Bronx,9
2/3/2016,Brooklyn,39
2/3/2016,Manhattan,46
2/3/2016,Queens,33
2/3/2016,Unknown,2
2/4/2016,Bronx,9
2/4/2016,Brooklyn,37
2/4/2016,Manhattan,55
2/4/2016,Staten Island,4
2/5/2016,Bronx,5
2/5/2016,Brooklyn,42
2/5/2016,Manhattan,39
2/5/2016,Queens,33
2/5/2016,Staten Island,2
2/6/2016,Bronx,2
2/6/2016,Brooklyn,8
2/6/2016,Queens,3
2/7/2016,Outside NYC,1
2/8/2016,Bronx,20
2/8/2016,Manhattan,49
2/8/2016,Queens,27
2/9/2016,Bronx,9
2/9/2016,Brooklyn,37
2/9/2016,Queens,39
2/10/2016,Bronx,9
2/10/2016,Brooklyn,43
2/10/2016,Manhattan,57
2/10/2016,Queens,33
2/10/2016,Staten Island,1
2/11/2016,Bronx,15
2/11/2016,Brooklyn,40
2/11/2016,Manhattan,54
2/11/2016,Queens,3
2/12/2016,Bronx,12
2/12/2016,Brooklyn,29
2/12/2016,Manhattan,50
2/12/2016,Queens,30
2/12/2016,Staten Island,9
2/13/2016,Bronx,9
2/13/2016,Brooklyn,16
2/13/2016,Manhattan,16
2/13/2016,Queens,2
2/13/2016,Staten Island,3
2/16/2016,Brooklyn,7
2/16/2016,Manhattan,4
2/16/2016,Queens,5
2/17/2016,Bronx,12
2/17/2016,Brooklyn,45
2/17/2016,Manhattan,56
2/17/2016,Outside NYC,5
2/17/2016,Queens,32
2/17/2016,Unknown,5
2/18/2016,Bronx,14
2/18/2016,Brooklyn,38
2/18/2016,Manhattan,59
2/18/2016,Queens,55
2/19/2016,Bronx,20
2/19/2016,Brooklyn,56
2/19/2016,Manhattan,27
2/19/2016,Queens,57
2/19/2016,Staten Island,8
2/20/2016,Brooklyn,39
2/20/2016,Manhattan,12
