violation_date,borough,count_violation_by_date_borough
2/21/2014,Staten Island,18
2/22/2014,Bronx,15
2/22/2014,Brooklyn,3
2/22/2014,Manhattan,6
2/22/2014,Queens,3
2/23/2014,Bronx,18
2/23/2014,Brooklyn,5
2/23/2014,Manhattan,2
2/23/2014,Queens,6
2/24/2014,Bronx,16
2/24/2014,Brooklyn,12
2/24/2014,Manhattan,42
2/24/2014,Queens,19
2/24/2014,Staten Island,15
2/25/2014,Bronx,28
2/25/2014,Brooklyn,42
2/25/2014,Manhattan,10
2/25/2014,Queens,28
2/25/2014,Staten Island,7
2/26/2014,Bronx,4
2/26/2014,Brooklyn,23
2/26/2014,Manhattan,50
2/26/2014,Queens,35
2/26/2014,Staten Island,22
2/27/2014,Bronx,21
2/27/2014,Brooklyn,37
2/27/2014,Manhattan,84
2/27/2014,Queens,11
2/27/2014,Staten Island,30
2/28/2014,Bronx,15
2/28/2014,Brooklyn,22
2/28/2014,Manhattan,12
2/28/2014,Queens,14
2/28/2014,Staten Island,9
2/28/2014,Unknown,5
3/1/2014,Bronx,32
3/1/2014,Brooklyn,5
3/1/2014,Manhattan,24
3/2/2014,Brooklyn,13
3/2/2014,Queens,4
3/3/2014,Bronx,15
3/3/2014,Brooklyn,18
3/3/2014,Manhattan,20
3/3/2014,Outside NYC,1
3/3/2014,Queens,13
3/3/2014,Staten Island,5
3/4/2014,Bronx,1
3/4/2014,Bronx,19
3/4/2014,Brooklyn,30
3/4/2014,Manhattan,3
3/4/2014,Queens,20
3/4/2014,Staten Island,2
3/5/2014,Bronx,7
3/5/2014,Brooklyn,19
3/5/2014,Manhattan,19
3/5/2014,Queens,34
3/5/2014,Staten Island,19
3/5/2014,Unknown,25
3/6/2014,Bronx,15
3/6/2014,Brooklyn,29
3/6/2014,Manhattan,30
3/6/2014,Queens,5
3/6/2014,Staten Island,17
3/6/2014,Unknown,8
3/7/2014,Bronx,26
3/7/2014,Brooklyn,57
3/7/2014,Manhattan,23
3/7/2014,Queens,21
3/7/2014,Staten Island,6
3/8/2014,Bronx,12
3/8/2014,Brooklyn,5
3/8/2014,Manhattan,34
3/8/2014,Queens,11
3/8/2014,Staten Island,6
3/9/2014,Bronx,5
3/9/2014,Brooklyn,9
3/9/2014,Manhattan,27
3/10/2014,Bronx,1
3/10/2014,Brooklyn,10
3/10/2014,Manhattan,24
3/10/2014,Queens,15
3/10/2014,Staten Island,47
3/10/2014,Unknown,34
3/11/2014,Bronx,14
3/11/2014,Brooklyn,16
3/11/2014,Manhattan,9
3/11/2014,Queens,18
3/11/2014,Staten Island,36
3/11/2014,Unknown,6
3/12/2014,Brooklyn,33
3/12/2014,Manhattan,20
3/12/2014,Queens,30
3/12/2014,Staten Island,10
3/13/2014,Bronx,31
3/13/2014,Brooklyn,32
3/13/2014,Manhattan,36
3/13/2014,Outside NYC,1
3/13/2014,Queens,4
3/13/2014,Staten Island,7
3/14/2014,Bronx,32
3/14/2014,Brooklyn,45
3/14/2014,Manhattan,16
3/14/2014,Queens,30
3/14/2014,Unknown,42
3/15/2014,Bronx,19
3/15/2014,Brooklyn,22
3/15/2014,Manhattan,27
3/15/2014,Queens,4
3/15/2014,Staten Island,3
3/16/2014,Brooklyn,3
3/16/2014,Manhattan,13
3/16/2014,Queens,1
3/17/2014,Bronx,10
3/17/2014,Brooklyn,16
3/17/2014,Manhattan,30
3/17/2014,Queens,7
3/17/2014,Staten Island,13
3/18/2014,Bronx,22
3/18/2014,Brooklyn,18
3/18/2014,Manhattan,8
3/18/2014,Outside NYC,2
3/18/2014,Queens,19
3/18/2014,Unknown,2
3/19/2014,Bronx,10
3/19/2014,Brooklyn,26
3/19/2014,Manhattan,27
3/19/2014,Queens,27
3/19/2014,Staten Island,3
3/20/2014,Bronx,17
3/20/2014,Brooklyn,39
3/20/2014,Manhattan,22
3/20/2014,Queens,5
3/20/2014,Staten Island,13
3/21/2014,Bronx,33
3/21/2014,Brooklyn,22
3/21/2014,Manhattan,15
3/21/2014,Queens,20
3/21/2014,Staten Island,2
3/22/2014,Bronx,6
3/22/2014,Brooklyn,18
3/22/2014,Manhattan,8
3/22/2014,Queens,33
3/23/2014,Bronx,2
3/23/2014,Brooklyn,4
3/23/2014,Queens,2
3/24/2014,Bronx,10
3/24/2014,Brooklyn,10
3/24/2014,Manhattan,48
3/24/2014,Queens,12
3/24/2014,Staten Island,19
3/25/2014,Bronx,14
3/25/2014,Brooklyn,27
3/25/2014,Manhattan,9
3/25/2014,Queens,17
3/25/2014,Staten Island,7
3/25/2014,Unknown,8
3/26/2014,Bronx,1
3/26/2014,Brooklyn,18
3/26/2014,Manhattan,32
3/26/2014,Queens,25
3/26/2014,Staten Island,23
3/27/2014,Bronx,34
3/27/2014,Brooklyn,28
3/27/2014,Manhattan,38
3/27/2014,Queens,9
3/27/2014,Staten Island,18
3/27/2014,Unknown,83
3/28/2014,Bronx,67
3/28/2014,Brooklyn,35
3/28/2014,Manhattan,15
3/28/2014,Queens,24
3/28/2014,Staten Island,8
3/28/2014,Unknown,6
3/29/2014,Bronx,10
3/29/2014,Brooklyn,2
3/29/2014,Manhattan,11
3/29/2014,Queens,2
3/29/2014,Staten Island,10
3/30/2014,Brooklyn,25
3/30/2014,Manhattan,9
3/31/2014,Bronx,13
3/31/2014,Brooklyn,23
3/31/2014,Manhattan,20
3/31/2014,Queens,45
3/31/2014,Staten Island,3
3/31/2014,Unknown,32
4/1/2014,Bronx,16
4/1/2014,Brooklyn,29
4/1/2014,Manhattan,16
4/1/2014,Outside NYC,1
4/1/2014,Queens,33
4/1/2014,Staten Island,3
4/2/2014,Bronx,9
4/2/2014,Brooklyn,15
4/2/2014,Manhattan,41
4/2/2014,Outside NYC,1
4/2/2014,Queens,21
4/2/2014,Staten Island,26
4/2/2014,Unknown,18
4/3/2014,Bronx,2
4/3/2014,Bronx,36
4/3/2014,Brooklyn,27
4/3/2014,Manhattan,41
4/3/2014,Queens,5
4/4/2014,Bronx,23
4/4/2014,Brooklyn,52
4/4/2014,Manhattan,21
4/4/2014,Queens,31
4/4/2014,Staten Island,9
4/5/2014,Bronx,33
4/5/2014,Brooklyn,4
4/5/2014,Manhattan,6
4/5/2014,Queens,2
4/6/2014,Bronx,10
4/6/2014,Brooklyn,7
4/6/2014,Manhattan,1
4/6/2014,Queens,3
4/7/2014,Bronx,8
4/7/2014,Brooklyn,13
4/7/2014,Manhattan,27
4/7/2014,Queens,11
4/7/2014,Staten Island,7
4/7/2014,Unknown,1
4/8/2014,Bronx,17
4/8/2014,Brooklyn,36
4/8/2014,Manhattan,15
4/8/2014,Queens,18
4/8/2014,Staten Island,3
4/8/2014,Unknown,2
4/9/2014,Bronx,2
4/9/2014,Brooklyn,16
4/9/2014,Manhattan,24
4/9/2014,Queens,37
4/9/2014,Staten Island,18
4/10/2014,Bronx,15
4/10/2014,Brooklyn,32
4/10/2014,Manhattan,53
4/10/2014,Queens,7
4/10/2014,Staten Island,2
4/10/2014,Unknown,10
4/11/2014,Bronx,5
4/11/2014,Brooklyn,52
4/11/2014,Manhattan,22
4/11/2014,Queens,23
